iter	Passed	Remaining
867	1486	226
868	1488	224
869	1489	222
870	1491	220
871	1493	219
872	1494	217
873	1496	215
874	1497	213
875	1499	212
876	1501	210
877	1503	208
878	1504	207
879	1506	205
880	1508	203
881	1509	201
882	1510	200
883	1512	198
884	1513	196
885	1515	195
886	1517	193
887	1519	191
888	1520	189
889	1522	188
890	1523	186
891	1525	184
892	1527	182
893	1528	181
894	1529	179
895	1532	177
896	1533	176
897	1535	174
898	1536	172
899	1538	170
900	1539	169
901	1541	167
902	1543	165
903	1544	164
904	1546	162
905	1547	160
906	1549	158
907	1551	157
908	1553	155
909	1554	153
910	1556	152
911	1558	150
912	1560	148
913	1561	146
914	1563	145
915	1565	143
916	1566	141
917	1568	140
918	1570	138
919	1571	136
920	1573	134
921	1574	133
922	1575	131
923	1577	129
924	1578	128
925	1580	126
926	1582	124
927	1583	122
928	1585	121
929	1586	119
930	1588	117
931	1590	116
932	1591	114
933	1593	112
934	1594	110
935	1596	109
936	1597	107
937	1599	105
938	1600	104
939	1602	102
940	1603	100
941	1605	98
942	1606	97
943	1607	95
944	1609	93
945	1611	91
946	1612	90
947	1614	88
948	1615	86
949	1617	85
950	1618	83
951	1620	81
952	1621	79
953	1622	78
954	1624	76
955	1625	74
956	1627	73
957	1629	71
958	1630	69
959	1632	68
960	1633	66
961	1635	64
962	1636	62
963	1638	61
964	1640	59
965	1641	57
966	1643	56
967	1645	54
968	1647	52
969	1649	51
970	1651	49
971	1652	47
972	1653	45
973	1655	44
974	1657	42
975	1659	40
976	1660	39
977	1662	37
978	1663	35
979	1664	33
980	1666	32
981	1668	30
982	1669	28
983	1670	27
984	1672	25
985	1673	23
986	1675	22
987	1676	20
988	1678	18
989	1679	16
990	1681	15
991	1682	13
992	1683	11
993	1685	10
994	1686	8
995	1688	6
996	1690	5
997	1691	3
998	1693	1
999	1694	0
